layer_name,prompt,timestep_index,num_same_pairs,num_different_pairs,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,best_verification_threshold,best_verification_accuracy,equal_error_rate
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,add headphones,3,45,945,0.003240011798010932,0.0034803343197656058,0.0669326602998707,0.07126738029931273,0.0002403225217546736,0.5463609641387419,0.00016200542449951172,0.9565656565656566,0.4888888888888889
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,add headphones,3,45,945,0.0027411288685268826,0.0029806892707865073,0.06284975277052986,0.06718280615984763,0.0002395604022596247,0.5485008818342152,0.00012445449829101562,0.9555555555555556,0.4888888888888889
unet.up_blocks.3,add black sunglasses,14,45,945,0.0032475113868713377,0.0034824500008234904,0.0636701887473464,0.06832906932781928,0.00023493861395215265,0.5423868312757202,1.533167266845703e-05,0.9545454545454546,0.4444444444444444
unet.down_blocks.2,add headphones,3,45,945,0.0029392414622836645,0.0031737216565974804,0.06438842606213357,0.06850378777851503,0.00023448019431381592,0.5446443268665491,0.00014585256576538086,0.9565656565656566,0.4888888888888889
unet.up_blocks.3,add headphones,14,45,945,0.003222170141008165,0.0034555962476780808,0.06341333418256706,0.06805366654215114,0.00023342610666991564,0.5422222222222223,1.4974044799804687e-05,0.9545454545454546,0.4444444444444444
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add headphones,3,45,945,0.002175552315182156,0.0023628752067606285,0.05413739250765907,0.05768075564964896,0.0001873228915784727,0.5369782480893592,4.370348358154297e-05,0.9545454545454546,0.4883597883597883
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add black sunglasses,10,45,945,0.0028749585151672365,0.003060950614787914,0.05977467381291919,0.06388265775694024,0.00018599209962067743,0.539482657260435,9.430812835693359e-06,0.9545454545454546,0.4444444444444444
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add headphones,10,45,945,0.002876346641116672,0.003062139932440702,0.0597920016075174,0.06389431119329794,0.00018579329132403007,0.5394356261022928,9.192394256591796e-06,0.9545454545454546,0.4444444444444444
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,add black sunglasses,3,45,945,0.0021594180001152886,0.0023427668071928478,0.05399332112736172,0.05749998114825714,0.00018334880707755914,0.5374720752498531,4.3882297515869143e-05,0.9545454545454546,0.48677248677248675
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,add headphones,3,45,945,0.002562152014838325,0.002737107794120829,0.05764535148110655,0.061463301563783296,0.00017495577928250405,0.539564961787184,5.300180816650391e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,add black sunglasses,3,45,945,0.0025919795036315916,0.0027666583263054097,0.05793864203410016,0.06177407875459976,0.00017467882267381812,0.5397766019988243,5.568401718139649e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.3,add black sunglasses,10,45,945,0.002453456984625922,0.002626731723704666,0.05535779224915637,0.05940531707422995,0.0001732747390787437,0.5424338624338624,1.3185905456542968e-05,0.9545454545454546,0.4444444444444444
unet.up_blocks.3,add headphones,10,45,945,0.0024418248070610894,0.0026144857759828923,0.05521458532247278,0.05925028024280749,0.00017266096892180286,0.5423868312757202,1.3185905456542968e-05,0.9545454545454546,0.4444444444444444
unet.up_blocks.3,add headphones,3,45,945,0.001835012435913086,0.0019758756829317283,0.04813599156008826,0.05162686642022833,0.00014086324701864227,0.5436096413874192,2.2722648620605468e-05,0.9545454545454546,0.4444444444444444
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,add black sunglasses,3,45,945,0.0014303167661031087,0.0015708988936489851,0.044554645588828455,0.04746523197819159,0.0001405821275458764,0.5378835978835979,3.74913215637207e-05,0.9565656565656566,0.4888888888888889
unet.up_blocks.3,add black sunglasses,3,45,945,0.0017952309714423286,0.0019337763862004357,0.04761268831789493,0.05110358777086413,0.0001385454147581071,0.5443974132863022,2.194778823852539e-05,0.9545454545454546,0.4444444444444444
unet.up_blocks.1,add black sunglasses,3,45,945,0.0015795919630262588,0.0017156816664196195,0.0466657520375318,0.049586126544369905,0.00013608970339336075,0.5378600823045268,4.595518112182617e-05,0.9565656565656566,0.4888888888888889
unet.up_blocks.3,add black sunglasses,6,45,945,0.0019088599416944715,0.0020411760087997196,0.04891725435025162,0.052484221779125394,0.00013231606710524817,0.5429512051734274,1.5152858734130859e-05,0.9545454545454546,0.4444444444444444
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,add headphones,3,45,945,0.0013960613144768609,0.0015281655170299388,0.043735265442066726,0.04650649521204214,0.0001321042025530779,0.5361787184009407,3.904104232788086e-05,0.9565656565656566,0.4888888888888889
unet.up_blocks.3,add headphones,6,45,945,0.0019015881750318738,0.002033394038992584,0.04880055305030611,0.05234705793065211,0.00013180586396071008,0.5425044091710758,1.5093254089355468e-05,0.9545454545454546,0.4444444444444444
unet.down_blocks.1,add headphones,3,45,945,0.001811626222398546,0.0019416486775433576,0.04938189217613803,0.05230305107142875,0.00013002245514481163,0.5369900058788948,4.3332576751708984e-05,0.9555555555555556,0.491005291005291
unet.up_blocks.1,add headphones,3,45,945,0.0016769766807556152,0.0018068230341351222,0.04755564694189363,0.050359909206865325,0.00012984635337950695,0.5381657848324515,5.137920379638672e-05,0.9565656565656566,0.4888888888888889
unet.down_blocks.1,add black sunglasses,3,45,945,0.0018089532852172852,0.0019364710207338686,0.04945735912770033,0.052368675604975094,0.00012751773551658335,0.537554379776602,4.5180320739746094e-05,0.9555555555555556,0.4899470899470899
