layer_name,timestep_index,mean_identity_separation,mean_identity_auc,num_conditions
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,10,2.8628047811921927e-05,0.5356378600823045,2
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,3,2.6766585294531775e-05,0.5471369782480894,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,10,2.6072680004059304e-05,0.5400411522633746,2
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,6,2.588576109951768e-05,0.5358142269253381,2
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,10,2.5884373478157822e-05,0.5295296884185773,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,14,2.368152456939536e-05,0.5414168136390358,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,14,2.1244073040270936e-05,0.5458730158730158,2
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,10,1.9315153202682556e-05,0.5461493239271017,2
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,10,1.9094552943315447e-05,0.5432569077013522,2
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,14,1.844215014624217e-05,0.5297413286302175,2
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,14,1.7962316987375735e-05,0.5346913580246914,2
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,14,1.573222024100167e-05,0.5489888300999413,2
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,14,1.5574630606111394e-05,0.5392827748383304,2
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,10,1.4845088676170056e-05,0.5386243386243386,2
unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2,3,1.3538422407927313e-05,0.5261845972957084,2
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,14,1.1444344091667696e-05,0.5449735449735449,2
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,14,1.0526905614863008e-05,0.5387360376249265,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,10,8.747943494685743e-06,0.543997648442093,2
unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2,6,3.946552831659878e-06,0.53554379776602,2
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,14,3.7498259670519976e-06,0.5442504409171076,2
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,6,3.648308849839305e-06,0.5330217519106408,2
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,6,2.326504894034575e-06,0.5493827160493827,2
unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2,10,1.0370262085445344e-06,0.537095825984715,2
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,10,5.315851282190393e-07,0.5306584362139918,2
unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2,14,4.3965521312895257e-07,0.5288712522045855,2
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,14,2.3961697936688785e-07,0.5320870076425632,2
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,10,1.0596381293402825e-07,0.5434391534391534,2
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,14,9.524128424427816e-09,0.549617871840094,2
unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,3,0.0,0.5,2
unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,6,0.0,0.5,2
unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,10,0.0,0.5,2
unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,14,0.0,0.5,2
unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,3,0.0,0.5,2
unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,6,0.0,0.5,2
unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,10,0.0,0.5,2
unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,14,0.0,0.5,2
